place_id,name,address,latitude,longitude,google_rating,google_rating_count,price_level,website,phone,description,google_types,Senin_buka,Senin_tutup,Selasa_buka,Selasa_tutup,Rabu_buka,Rabu_tutup,Kamis_buka,Kamis_tutup,Jumat_buka,Jumat_tutup,Sabtu_buka,Sabtu_tutup,Minggu_buka,Minggu_tutup,data_collected
ChIJgQjF7x30aS4R6z1pSrf_III,Shangri-La Jakarta,"Shangri-La Jakarta, Kota BNI, Jl. Jenderal Sudirman No.Kav. 1, RT.10/RW.9, Karet Tengsin, Kecamatan Tanah Abang, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10220, Indonesia",-6.202963400000001,106.8185198,4.7,26831.0,,https://www.shangri-la.com/en/jakarta/shangrila/,(021) 29229999,"Plush rooms & suites in a high-end hotel offering a luxe spa, an outdoor pool & 4 restaurants.","hotel,lodging,point_of_interest,establishment",Tutup,Tutup,Tutup,Tutup,Tutup,Tutup,Tutup,Tutup,Tutup,Tutup,Tutup,Tutup,Tutup,Tutup,2026-06-30
ChIJ50s0zhr0aS4RnrBi51X8qXw,The St. Regis Jakarta,"Rajawali Place Jakarta, Jl. H. R. Rasuna Said Selatan No.Kav. B, RT.5/RW.4, Kuningan, Kecamatan Setiabudi, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12910, Indonesia",-6.2063292,106.8275025,4.7,3161.0,,https://www.marriott.com/en-us/hotels/jktxr-the-st-regis-jakarta/overview/?scid=f2ae0541-1279-4f24-b197-a979c79310b0,(021) 50948888,"Sophisticated hotel offering 2 restaurants & 3 bars, plus an outdoor pool & a spa.","hotel,lodging,point_of_interest,establishment",Tutup,Tutup,Tutup,Tutup,Tutup,Tutup,Tutup,Tutup,Tutup,Tutup,Tutup,Tutup,Tutup,Tutup,2026-06-30
ChIJ2zV-Ccz1aS4RWwlaMym3AnM,Hotel Borobudur Jakarta,"Jl. Lap. Banteng Selatan No.1, Ps. Baru, Kecamatan Sawah Besar, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10710, Indonesia",-6.172157299999999,106.8358278,4.6,22013.0,,https://www.hotelborobudur.com/,(021) 3805555,"Upscale property featuring several eateries & a cigar bar, plus 8 tennis courts.","hotel,lodging,point_of_interest,establishment",Tutup,Tutup,Tutup,Tutup,Tutup,Tutup,Tutup,Tutup,Tutup,Tutup,Tutup,Tutup,Tutup,Tutup,2026-06-30
ChIJSdyLZF_2aS4RZokg06PF_j0,Pullman Jakarta Central Park,"Podomoro City Jl. Let. Jend S Parman Kav 28, Jakarta Barat, South Tanjung Duren, Grogol petamburan, Jakarta, 11470, Indonesia",-6.1779993,106.7893924,4.7,15510.0,,https://all.accor.com/lien_externe.svlt?goto=fiche_hotel&code_hotel=7536&merchantid=seo-maps-ID-7536&sourceid=aw-cen&utm_medium=seo%20maps&utm_source=google%20Maps&utm_campaign=seo%20maps,(021) 29200088,"Fashionable hotel with a spa, a gym & an outdoor pool, as well as dining & a rooftop garden.","hotel,lodging,point_of_interest,establishment",Tutup,Tutup,Tutup,Tutup,Tutup,Tutup,Tutup,Tutup,Tutup,Tutup,Tutup,Tutup,Tutup,Tutup,2026-06-30
ChIJ_ekq7AL0aS4RCbdju1I995U,AYANA Midplaza Jakarta,"Jl. Jenderal Sudirman No.Kav 10-11, RT.10/RW.11, Karet Tengsin, Kecamatan Tanah Abang, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10220, Indonesia",-6.208952099999999,106.8197765,4.7,11419.0,,http://www.ayanajakarta.com/,(021) 2510888,"Polished business hotel featuring multiple chic restaurants & bars, plus an outdoor pool & tennis.","hotel,lodging,point_of_interest,establishment",Tutup,Tutup,Tutup,Tutup,Tutup,Tutup,Tutup,Tutup,Tutup,Tutup,Tutup,Tutup,00:00,00:00,2026-06-30
ChIJXS2uQDD0aS4ROFlsU3psnIY,Park Hyatt Jakarta,"Jl. Kebon Sirih No.17-19, RT.15/RW.7, Kb. Sirih, Kec. Menteng, Jakarta, Daerah Khusus Ibukota Jakarta 10340, Indonesia",-6.1848098,106.8310014,4.7,2811.0,,https://www.hyatt.com/park-hyatt/en-US/cgkph-park-hyatt-jakarta?src=corp_lclb_google_seo_cgkph&utm_source=google&utm_medium=organic&utm_campaign=lmr,(021) 31111234,"Sleek hotel offering 2 bars & 3 restaurants, plus an outdoor pool, a gym & a spa.","hotel,lodging,point_of_interest,establishment",Tutup,Tutup,Tutup,Tutup,Tutup,Tutup,Tutup,Tutup,Tutup,Tutup,Tutup,Tutup,Tutup,Tutup,2026-06-30
ChIJB9Y8liH0aS4RemVuMOm5PFA,Hotel Indonesia Kempinski Jakarta,"Jl. MH Thamrin No.1, RT.1/RW.5, Menteng, Kec. Menteng, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10310, Indonesia",-6.1963902,106.8225851,4.7,22474.0,,https://www.kempinski.com/en/hotel-indonesia?utm_medium=organic&utm_source=google&utm_campaign=KIJKT1&utm_content=gmb&source=S308962248,(021) 23583800,"Sophisticated rooms in a high-end hotel offering chic dining, a rooftop pool & a spa.","hotel,event_venue,lodging,service,point_of_interest,establishment",Tutup,Tutup,Tutup,Tutup,Tutup,Tutup,Tutup,Tutup,Tutup,Tutup,Tutup,Tutup,00:00,00:00,2026-06-30
ChIJp9WFYiH0aS4R3B372KAlQb4,Pullman Jakarta Indonesia Thamrin CBD,"Jl. M.H. Thamrin No.59, RT.9/RW.5, Gondangdia, Kec. Menteng, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10350, Indonesia",-6.1930497,106.8232467,4.7,17186.0,,https://all.accor.com/lien_externe.svlt?goto=fiche_hotel&code_hotel=8491&merchantid=seo-maps-ID-8491&sourceid=aw-cen&utm_medium=seo%20maps&utm_source=google%20Maps&utm_campaign=seo%20maps,,"Polished rooms in a refined lodging with a grand ballroom, a spa area & elegant dining.","hotel,lodging,point_of_interest,establishment",Tutup,Tutup,Tutup,Tutup,Tutup,Tutup,Tutup,Tutup,Tutup,Tutup,Tutup,Tutup,Tutup,Tutup,2026-06-30
ChIJKWtQ-ZH1aS4RkmnmfQ6NKVY,Grand Mercure Jakarta Kemayoran,"Jl H Benyamin Sueb Kav B6, Superblok Mega Glodok Kemayoran, Jl. Kota Baru Bandar Kemayoran, RW.10, South Gunung Sahari, Kemayoran, Jakarta, 10610, Indonesia",-6.1531208,106.84975,4.7,28297.0,,https://all.accor.com/lien_externe.svlt?goto=fiche_hotel&code_hotel=9896&merchantid=seo-maps-ID-9896&sourceid=aw-cen&utm_medium=seo%20maps&utm_source=google%20Maps&utm_campaign=seo%20maps,(021) 22601111,"Upmarket hotel offering modern rooms with city views, plus an airy restaurant & an outdoor pool.","hotel,lodging,point_of_interest,establishment",Tutup,Tutup,Tutup,Tutup,Tutup,Tutup,Tutup,Tutup,Tutup,Tutup,Tutup,Tutup,Tutup,Tutup,2026-06-30
ChIJoWDK7gH0aS4RrDG-LVhF61U,Le Meridien Jakarta,"Jl. Jenderal Sudirman No.Kav 18 - 20, RT.10/RW.11, Karet Tengsin, Kecamatan Tanah Abang, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10220, Indonesia",-6.213368699999999,106.8186985,4.6,13275.0,,https://www.marriott.com/en-us/hotels/jktmd-le-meridien-jakarta/overview/?scid=f2ae0541-1279-4f24-b197-a979c79310b0,(021) 2513131,"Polished lodging featuring international restaurants & a nightclub, plus an outdoor pool & a spa.","hotel,lodging,point_of_interest,establishment",Tutup,Tutup,Tutup,Tutup,Tutup,Tutup,Tutup,Tutup,Tutup,Tutup,Tutup,Tutup,Tutup,Tutup,2026-06-30
