venue_id,name,venue_category,latitude,longitude,address,checkin_count,last_checkin,osm_url,References,hours_source,Senin_buka,Selasa_buka,Rabu_buka,Kamis_buka,Jumat_buka,Sabtu_buka,Minggu_buka,Senin_tutup,Selasa_tutup,Rabu_tutup,Kamis_tutup,Jumat_tutup,Sabtu_tutup,Minggu_tutup,google_rating,google_rating_count,price_level,description,good_for_children,google_types,primary_type,business_status,wheelchair_accessible,has_parking,accepts_cashless,has_restroom,photo_ref,sublocality,locality,zone_id,time_spent_minutes,description_source
6,Monumen Nasional (MONAS),Monument / Landmark,-6.175371641294809,106.82719230651855,Jalan Pelataran Merdeka,500.0,2018-08-07 18:48:00,,,google_places,Tutup,08:00,08:00,08:00,08:00,08:00,08:00,Tutup,21:00,21:00,21:00,21:00,21:00,21:00,4.6,122104.0,,Well-known obelisk built to commemorate Indonesian independence from the Netherlands.,True,"monument,tourist_attraction,point_of_interest,establishment",monument,OPERATIONAL,True,True,,,places/ChIJLbFk59L1aS4RyLzp4OHWKj0/photos/AaVGc3mTBUppj3uYp5ar5xySztdvozTTs4c2BW-GoazbU96GFV_-K0tDhbNeiB2AgzFmLM2EY5PfRoZR7-FjRVVFotJr1xap5t3D5oVVumdp3Jd13n36vDr5PfZI7EKdgBF43tiSCo2DzRMnvwCrEGYNerVQhw2rLi8tuwvI2Pz4EvPhYuGrI4J2YFJksevrnY4dipR_y2UyM90tc7Tug_Dv6iPGJC39ZsbEg-sMtReuuiwHHPtpkHp_VoJfbnTR3YQKnFOlNyoZCnMsHUtY5gPF22_kI8av6tm_SmTLohre0hSBjbd6CPAcuFV4mp-yJGNobs4iQmvULmExeRuXpzG7EfWqKg2tQjJaVBHctkmAPBwxWtz6IhWvrjdJIKRaCpa8-rWla-LEq9K_n2D_uyTjZIU2yqXzdA3VtTm1ALQiBWOi7zzE,Gambir,Kota Jakarta Pusat,1,42,
27507,Batavia (Kota Tua),Historic Site,-6.134799701188527,106.81304144878648,Jalan Kali Besar Timur,325.0,2018-08-02 09:05:00,,,google_places,08:00,08:00,08:00,08:00,08:00,08:00,08:00,21:00,21:00,21:00,21:00,21:00,21:00,21:00,4.6,26676.0,,"Historic district home to Dutch colonial buildings, museums & a buzzy plaza with street performers.",True,"neighborhood,political",tourist_attraction,OPERATIONAL,True,True,True,True,places/ChIJx7dLUwf2aS4RZXBT8uS36kI/photos/AaVGc3m55LkVnQhET1MdYapAkod8lLO7j1MgdcO4WWcfiZa6f3eFBeOT9vskEZa1j4ut2_3x-21eBZHbXM32OpxYVws-eHdKGW35rmgdl9O6s2Q5HcREb-1sRXqt1fsbALy3ITsv0XAy8O3ISQtMfl8-BuiIZ45T5eUoL4SIRO6kbNWrDz4OGJM2EfFY1fEsY-ix9uPm_sc-io6m9AyIs7kU4hJkM5MxMBXoMiYnZG-zm4dQ2SG89SsLq1cW1qjztcSow3v6syCwgwhQ1bcy9Jl5Y8sMNO1KSyV-Ok3lJSiTsEmnSCdXktnv1Ry4B_u8xXUNWa-DMBRF6mnh2_4X5etEeQTQphP-Yku8kbjycuxQgAFl5BKW2eMgClt5igaGor41kiqPVbc3abw9AM2Z93dMU9TuG5dG5a6C07r8kvL7IbY,Pinangsia,Kota Jakarta Barat,5,77,
458,Dunia Fantasi (DUFAN),Theme Park,-6.12430035899868,106.8320888173749,Taman Impian Jaya Ancol,255.0,2017-12-01 03:28:00,,,google_places,10:00,10:00,10:00,10:00,10:00,10:00,10:00,18:00,18:00,18:00,18:00,18:00,20:00,20:00,4.6,79416.0,,"Internationally themed amusement park offering roller coasters, interactive rides, flumes & shows.",True,"amusement_park,tourist_attraction,point_of_interest,establishment",amusement_park,OPERATIONAL,True,True,True,True,places/ChIJVwxCgBoeai4R4zIiPSWTWyc/photos/AaVGc3nLQHfFKJM4mQBZ0TSWnNcP5_tTPOB6oebcqZaT14OabPbPUkQ7CREItdaQvyBZFPC7757A3_hPN_WZ8YTSOZ1Kdg65ThPaq-ghwJeuK0CBndrMIqxwvTIWuEegU64FkSz75oi3IKnIIB5btUMISM8-xJ1y7psvI532gM0FjXsvkygUeXYqsbwb1uDWezoWbdPgSr6UIbOsVtk98jn9ALV8NOWL559ejo7qK4yPDs9Eph3jQYn-kwlwYEExVhlvhAN1fPH2t9ELxR_DL0Beb-miUaDpCNRQ_uui4GXWdwaklFpJ56UJTykvB_F4ocRWJRqm9_0XcsZzuT2-4BACJU_xUFF-XeDkll3vAix2li4u8XB3DXlkWLkV3WdXH1OGjoixMts3lWUn1j86ptGuwzNR-mzOyW7L6h_TPzFVNjE,Ancol,Jakarta Utara,5,254,
13521,Patung Dirgantara (Patung Pancoran),Monument / Landmark,-6.243147694968922,106.84370469719954,Jalan Jenderal Gatot Subroto,158.0,2018-06-23 15:04:00,,,google_places,00:00,00:00,00:00,00:00,00:00,00:00,00:00,23:59,23:59,23:59,23:59,23:59,23:59,23:59,4.5,5582.0,,Landmark statue honoring the Indonesian Air Force & aviators who fought for independence.,False,"monument,point_of_interest,establishment",monument,OPERATIONAL,False,,,,places/ChIJL-pfxLjzaS4ROaSgrXQgJrQ/photos/AaVGc3lUyygJYAu7Wf7h3LGAooeDJ8kAWTcvJSeEcKyGEc3A2n8OBwh51VGYb7nH4Dnvgijs_eaGwWF2s1O-OOWYHXNwwFfErc7Yil02u4sEZTntaM7HREZ011SMOWAE-1P8eM7ymxUhxFhUTdbRK0OOH2jOg6wHORvCTT5A1M3h9yQSlCT44D_5tnnQpprDi54ncyHJ8VghggP_cvBNWQQlAdFNab5jccl5tLfETQ-f6QNYKMFdB1xAT76Rqln0haT68KFhZlp9v-Fq-zb7mU_E9uI0vpbNLnophRbhKqHcPjBM1pPbueM8bCTrhX6_hkQhEm4FPha3fncV31E4TVMyhRuoqeK9JaTEOtgU6qEjF1DDAC_z_AxukCzpj1XLgQJZKwmxzl7mp7AKqSVHBBdpz5__VJi5XPGe5_qC9iyX9gYPEg,Menteng Dalam,Kota Jakarta Selatan,2,30,
457,SeaWorld Indonesia,Aquarium,-6.125733139468994,106.84271363660038,Taman Impian Jaya Ancol,108.0,2018-02-21 04:37:00,,,google_places,09:00,09:00,09:00,09:00,09:00,09:00,09:00,17:00,17:00,17:00,17:00,17:00,20:00,18:00,4.5,47050.0,,"Sizable, contemporary aquarium with sharks, various feeding shows, a touch tank & concessions.",True,"aquarium,tourist_attraction,point_of_interest,establishment",aquarium,OPERATIONAL,True,True,True,True,places/ChIJG1ytuCIeai4RELSMP0wM6o4/photos/AaVGc3k1D9I7hGRv9EsE8wmkuyuksHZ9mqEmiIMYxoe8CWf5A0Q-WCTjp8VMso_Jgw_0Cjoq-r8uAvxlHMze-0axE2w9M5px0RLTPX41Ichi07nLL26g9sXgJhFwt1WpZPXr3uK9CddnL4ZYGQTZjtbzVwg8MtX8MAgFnBWxqyBFluCoeFdGthh-U-phn3ZY1BQpi0qfYEABjFZvivvXNmWFVsxm6jkOb-E9XWQOdk-U55yB5lrS-tOX6sNACBiyP5DSLc6e-e_uANhMv1SQLyLEDU8vatwvBIau4TUXmgD2IQxFQi_oQxEVgfr4LTLPC3-gXiLP5rA212eARZUQsqqtLuHX_j2aYHVw-GbK4RM85dCESZt4j2BaW3E_8Cm6_uU3cZvyFe_umPTPGykSa1bmWU32tym6z0mNniAXwuVCI9JZKQ,Ancol,Jakarta Utara,5,108,
8318,Ekayana Arama Indonesia Buddhist Centre,Temple,-6.17789703868204,106.7781917393253,Jalan Mangga II No. 8,93.0,2018-10-14 03:32:00,,http://www.ekayana.or.id/,google_places,09:00,09:00,09:00,09:00,09:00,09:00,09:00,17:00,17:00,17:00,17:00,17:00,17:00,17:00,4.7,1450.0,,"Wihara Ekayana Arama adalah sebuah wihara yang terletak di Jakarta Barat, Provinsi DKI Jakarta. Keistimewaan wihara ini ialah bahwa wihara ini merupakan wihara antar mazhab. Selain dipakai untuk kebaktian aliran Mahayana, wihara ini juga digunakan untuk kebaktian aliran Theravada.",,"buddhist_temple,place_of_worship,association_or_organization,point_of_interest,establishment",buddhist_temple,OPERATIONAL,True,,,True,places/ChIJkc3knfj2aS4Ry2BoVnE8OlY/photos/AaVGc3kM2eBph6f8z_-H5FIBJ4JCsxaHfQto01uHkYsHkVzG9_rOaANgYZ9M_y77Jx349gPS9zd91s8nv5Joy_AvXW2zMSMFXkmRQ0dQAsN5JxAbIi6-sx18QAuG79CXZFw5K1EFppPt2PTW3n6DPoDfGIyYNE98wC55QbcdD8tGc4bxeBOaFlSHJCp3Amgd3FHstPDy0DUsAEoTXlH91Nr-oQQc0WPZ47DI52k9BkcGBIkX9SekiRHz0SpgaXWmtKwwVv2PbkJ32yyrLqutVs5bvI3ESlV42NgmPSB9uN_6guA4UXr9dbZrM_SHYnl0oI3vn2NUas9JXw4N6ykG2FiiAs7SfZkHRROEvswzRVQ2ITYUG6vCnIeFaW7tBoe4OXhpKidtA05zybv7b6FvovLKFIm_KKFhUVaT3wTenEgGWn2SXHgz,Duri Kepa,Kota Jakarta Barat,3,43,wikipedia_id_search
328,Museum Nasional Indonesia,Museum,-6.176205793009856,106.82285363366826,Jalan Medan Merdeka Barat No.12,90.0,2017-10-14 04:38:00,,,google_places,Tutup,08:00,08:00,08:00,08:00,08:00,08:00,Tutup,18:00,18:00,18:00,20:00,20:00,20:00,4.7,20321.0,,"Museum containing historical & archaeological exhibits, from ceramics to statues & coins.",True,"museum,point_of_interest,establishment",museum,OPERATIONAL,True,True,,True,places/ChIJi_JxtdT1aS4R7Vhgb1ZBFaQ/photos/AaVGc3mR0W2Md6WU-oGJ0F6glW2ozCIyl0WvKizZXOo_ZMAk2yIwbf-bGvtqIShjhcQP5VgikeKBmojcYWjmTNmRJO9LUKeU3tKXRN0Ve_Ag8DtQkjknq0hIRB4X2cxfM7Q8R7OTJFxSbEbPEMylMj7OOTvqxUxjDOb-KkWXgM0C_TuGWYEecacGDSrlVUygsYTtrntqC36z-mSYjjNUAGciR71AvEcpQbQBWrr73vH0m4U8ED1lez694IHyLSnQatPzERmlsbX543-mVoK2CqRkA-hoO-AHjmAgnTN2l960JzYEHrMfrJVVjJptjEvJPXs5C9bV1yuynLmQ0Iu3o1VUEqtYgamlWmtL2Vh-0rJp9VWMU7-T0N6eZT6T38226ebBIjr0Kv1oSfRhPw8hGva9aex3l1dXi9M1UjaZ9NaQPPA,Gambir,Kota Jakarta Pusat,1,106,
1629,Patung Pahlawan (Tugu Tani),Monument / Landmark,-6.182604055511459,106.8346931195706,Jalan Prapatan,81.0,2018-08-08 00:23:00,,,google_places,00:00,00:00,00:00,00:00,00:00,00:00,00:00,23:59,23:59,23:59,23:59,23:59,23:59,23:59,4.5,6682.0,,Bronze statue of a peasant & his mother representing those who fought for Indonesia's independence.,,"historical_landmark,city_park,park,historical_place,point_of_interest,establishment",historical_landmark,OPERATIONAL,,True,,,places/ChIJb3ldNzH0aS4RCBkgtnZzrgk/photos/AaVGc3kyUvhNSVRpD8jbjLsYhCb1B9zGMOMxHljja_tr3NeCzqjRs4Xuj-gilWQbFTLS1L0uz1jyzNd3OMB3BkIoI-UMNm5vxwIOW95w7qTg2e69p48L55kBK0qeUYQUR6eJl_D9WQDs-do6BPfMbMB5fqjjpcaMwUl6KpWvUDTMDoWSHG1L5OgRWbtVfQQ9qbu0DErQnB4IoeCgTxH6e1AbgYRdNUD5hSl2GpA3ezWZHLu6kM5AZ7nL7PkLEwWmZSy5hOzD96aGQQgSyABdMaKLXF0Z_QMjc3p_PAtBhtZECckP9EKEz89hjzqXBLcGeXMmRHShXeoVs7cnLwZDK-UQE1Q2KCOecixvFxqt_SZOdCquwlg1w0mcEBike1McZto0zLcSk6Kakum83JNlJYRFRi227wTQ4izyZX7uJ5D37t3iAwUfVZBYZRAEKYfbanE5,Kebon Sirih,Kota Jakarta Pusat,1,31,
708,Museum Sejarah Jakarta (Museum Fatahillah),History Museum,-6.135306455257181,106.8132873498535,Jalan Taman Fatahillah No. 1,78.0,2018-09-23 05:43:00,,,google_places,Tutup,09:00,09:00,09:00,09:00,09:00,09:00,Tutup,15:00,15:00,15:00,15:00,15:00,15:00,4.6,22853.0,,"Set in an 18th-century building, this museum houses an assortment of exhibits on Jakarta's history.",True,"history_museum,tourist_attraction,museum,point_of_interest,establishment",history_museum,OPERATIONAL,True,True,,True,places/ChIJfaWSQv8dai4RRQeMZy0D8BI/photos/AaVGc3m00RJAtedyFNRbS8YA1GNYSQnLgkJ3MGGrXj_eJWzSWuzyecw8K77w59JN3H4mgLnyzn4VCcWIiChpwYKwVEFrOHXdTvkzdkjC9gOM0r4kUxAiwWHBNB0uIWxIavcPF_GxWipJQMqrkrw9T0Jlvz0GjP6iVo8JFu5W94uRLw14AiNcUcR-BKeTujwRroGZaa-2dJSnGiUgEhrpJ-T2dvUQxdizW4xkP05LX_uHdyZZA8oy199-70yS236TrZhC6AeIpQgKfbaRtc1qm4XiLZQvKWyiZEe533t8G2av6o01j0n-5314g_FgOhUJEyE_Va0f_sFt--XXQ797oN4opLyAqPfS1QlO0g1_CrncevTLfIYUPeUFSl2txBu7Rrbe3Tvv1At95flTsSFnaiD2SF_GffpbwHR7oPvmTlsdI2Q,Pinangsia,Kota Jakarta Barat,5,108,
337,Museum Tekstil,Art Museum,-6.188384708631101,106.80925369262695,Jalan Aipda K.S Tubun No. 2 – 4,66.0,2013-06-03 19:14:00,,,google_places,Tutup,09:00,09:00,09:00,09:00,09:00,09:00,Tutup,15:00,15:00,15:00,15:00,15:00,15:00,4.5,3167.0,,"Housed in a 19th-century home, this museum features colorful exhibitions of regional textiles.",True,"museum,tourist_attraction,point_of_interest,establishment",museum,OPERATIONAL,True,True,,True,places/ChIJXVigIpv2aS4REJto8lZlJ9w/photos/AaVGc3msAkSYL3MTnkDKszPLfr6x8r6zQoaTrgtvagrgKdLorjqzoCILiZafNVKakbc8IqcnNvpqsssxnB-6N2eLBu4QsTAOOvQJNdBF8V01WOdAtpDm2x-UK5NiPqLnL7eEHx5_Bca5f2U-Zq3SIFDFIdqx6zZV_HGuUjey4jt50klTvr3CChUYFSQHoxJK8AUCM8ThaHlGaaFHkRfHV9koMc5EKRAaKaMy7FWo-rJttU7W9ZTQkKRQYAVs_oOqHvHMRTVSjXSrh9THP7K0lcZHdiQNzJvHQ4hW64CeGofl2X6_fkL0MaPA2tbjFrbercxTW1UjId38KUArsj-gv_heDZA-zTAx33pSugTDVYiM1L4tP-tECUwz9Q5M10K7zEGCECuRDzF6yleN2XhoFLeFOw_RfSa4GKvCkDN4liBsoeiDAHBH,Petamburan,Kota Jakarta Pusat,1,76,
