venue_id_a,venue_id_b,duration_minutes,time_source
2088,6140,3.4,osrm
2088,6627,4.8,osrm
2088,7222,3.7,osrm
2088,13788,7.0,osrm
6140,6627,5.4,osrm
6140,7222,5.0,osrm
6140,13788,5.5,osrm
6627,7222,4.0,osrm
6627,13788,8.4,osrm
7222,13788,8.3,osrm
457,458,6.7,osrm
457,783,7.2,osrm
457,3415,8.4,osrm
457,7178,4.8,osrm
457,12260,5.6,osrm
457,13290,4.7,osrm
457,20637,7.1,osrm
457,21620,4.5,osrm
457,21938,12.2,osrm
457,26183,4.3,osrm
457,30750,4.9,osrm
457,48485,5.0,osrm
457,61170,5.6,osrm
458,783,7.9,osrm
458,3415,3.5,osrm
458,7178,4.6,osrm
458,12260,3.2,osrm
458,13290,5.5,osrm
458,20637,3.2,osrm
458,21620,5.3,osrm
458,21938,7.3,osrm
458,26183,6.4,osrm
458,30750,5.5,osrm
458,48485,3.9,osrm
458,61170,3.3,osrm
783,3415,9.4,osrm
783,7178,8.1,osrm
783,12260,8.9,osrm
783,13290,8.0,osrm
783,20637,10.4,osrm
783,21620,4.7,osrm
783,21938,11.9,osrm
783,26183,6.3,osrm
783,30750,4.9,osrm
783,48485,9.8,osrm
783,61170,8.9,osrm
3415,7178,6.2,osrm
3415,12260,4.8,osrm
3415,13290,6.8,osrm
3415,20637,4.8,osrm
3415,21620,3.4,osrm
3415,21938,4.5,osrm
3415,26183,5.0,osrm
3415,30750,3.7,osrm
3415,48485,2.7,osrm
3415,61170,4.8,osrm
7178,12260,2.7,osrm
7178,13290,1.7,osrm
7178,20637,4.2,osrm
7178,21620,3.2,osrm
7178,21938,10.3,osrm
7178,26183,2.9,osrm
7178,30750,3.5,osrm
7178,48485,5.2,osrm
7178,61170,2.7,osrm
12260,13290,2.3,osrm
12260,20637,3.8,osrm
12260,21620,3.7,osrm
12260,21938,9.9,osrm
12260,26183,3.5,osrm
12260,30750,4.1,osrm
12260,48485,5.8,osrm
12260,61170,2.3,osrm
13290,20637,5.1,osrm
13290,21620,3.2,osrm
13290,21938,11.2,osrm
13290,26183,3.0,osrm
13290,30750,3.6,osrm
13290,48485,6.4,osrm
13290,61170,3.6,osrm
20637,21620,5.0,osrm
20637,21938,9.2,osrm
20637,26183,4.8,osrm
20637,30750,5.4,osrm
20637,48485,5.7,osrm
20637,61170,1.3,osrm
21620,21938,8.3,osrm
21620,26183,2.7,osrm
21620,30750,0.7,osrm
21620,48485,6.1,osrm
21620,61170,5.3,osrm
21938,26183,8.4,osrm
21938,30750,7.1,osrm
21938,48485,6.0,osrm
21938,61170,8.1,osrm
26183,30750,3.8,osrm
26183,48485,4.9,osrm
26183,61170,4.5,osrm
30750,48485,8.3,osrm
30750,61170,7.4,osrm
48485,61170,6.0,osrm
6034,13655,11.3,osrm
708,829,1.1,osrm
708,833,1.1,osrm
708,1005,3.8,osrm
708,8564,3.0,osrm
708,12802,7.8,osrm
708,27507,1.1,osrm
708,31626,6.4,osrm
708,46880,4.0,osrm
708,62694,5.6,osrm
708,72954,5.2,osrm
829,833,2.4,osrm
829,1005,5.1,osrm
829,8564,4.3,osrm
829,12802,7.6,osrm
829,27507,0.0,osrm
829,31626,5.8,osrm
829,46880,5.1,osrm
829,62694,5.1,osrm
829,72954,4.6,osrm
833,1005,5.5,osrm
833,8564,4.7,osrm
833,12802,8.0,osrm
833,27507,1.0,osrm
833,31626,6.3,osrm
833,46880,5.6,osrm
833,62694,5.5,osrm
833,72954,5.1,osrm
1005,8564,0.8,osrm
1005,12802,8.7,osrm
1005,27507,5.9,osrm
1005,31626,6.9,osrm
1005,46880,4.9,osrm
1005,62694,7.9,osrm
1005,72954,7.4,osrm
8564,12802,7.9,osrm
8564,27507,5.1,osrm
8564,31626,6.1,osrm
8564,46880,4.1,osrm
8564,62694,6.5,osrm
8564,72954,6.1,osrm
11945,12867,3.2,osrm
11945,17394,5.0,osrm
11945,26748,8.6,osrm
11945,43780,3.4,osrm
11945,67516,5.6,osrm
11945,73162,6.0,osrm
12802,27507,3.5,osrm
12802,31626,2.7,osrm
12802,46880,3.3,osrm
12802,62694,1.9,osrm
12802,72954,1.5,osrm
12867,17394,2.5,osrm
12867,26748,7.9,osrm
12867,43780,1.6,osrm
12867,67516,4.9,osrm
12867,73162,9.9,osrm
17394,26748,10.8,osrm
17394,43780,5.5,osrm
17394,67516,5.5,osrm
17394,73162,13.8,osrm
26748,43780,13.1,osrm
26748,67516,10.8,osrm
26748,73162,12.8,osrm
27507,31626,5.8,osrm
27507,46880,5.1,osrm
27507,62694,5.0,osrm
27507,72954,4.6,osrm
31626,46880,4.2,osrm
31626,62694,3.0,osrm
31626,72954,2.6,osrm
43780,67516,6.1,osrm
43780,73162,11.1,osrm
46880,62694,3.3,osrm
46880,72954,2.9,osrm
62694,72954,2.0,osrm
67516,73162,11.1,osrm
6,328,3.8,osrm
6,576,6.8,osrm
6,832,3.1,osrm
6,1017,5.8,osrm
6,1629,3.3,osrm
6,5757,7.1,osrm
6,8381,6.9,osrm
6,16110,5.5,osrm
6,16974,7.7,osrm
6,17196,3.5,osrm
6,18109,5.5,osrm
6,24977,6.7,osrm
6,44851,4.8,osrm
6,46454,8.1,osrm
6,54348,9.2,osrm
328,576,6.0,osrm
328,832,3.1,osrm
328,1017,3.4,osrm
328,1629,2.5,osrm
328,5757,4.8,osrm
328,8381,6.1,osrm
328,16110,4.7,osrm
328,16974,5.4,osrm
328,17196,1.7,osrm
328,18109,5.2,osrm
328,24977,5.9,osrm
328,44851,3.6,osrm
328,46454,7.3,osrm
328,54348,8.5,osrm
576,832,2.7,osrm
576,1017,5.2,osrm
576,1629,2.7,osrm
576,5757,4.8,osrm
576,8381,4.7,osrm
576,16110,3.2,osrm
576,16974,5.5,osrm
576,17196,4.8,osrm
576,18109,3.6,osrm
576,24977,4.5,osrm
576,44851,5.8,osrm
576,46454,5.9,osrm
576,54348,4.9,osrm
832,1017,5.2,osrm
832,1629,1.1,osrm
832,5757,4.9,osrm
832,8381,4.7,osrm
832,16110,3.3,osrm
832,16974,5.5,osrm
832,17196,3.5,osrm
832,18109,3.7,osrm
832,24977,4.5,osrm
832,44851,4.8,osrm
832,46454,5.9,osrm
832,54348,7.0,osrm
1017,1629,4.8,osrm
1017,5757,3.9,osrm
1017,8381,5.3,osrm
1017,16110,4.3,osrm
1017,16974,3.8,osrm
1017,17196,5.2,osrm
1017,18109,6.9,osrm
1017,24977,8.2,osrm
1017,44851,7.1,osrm
1017,46454,6.5,osrm
1017,54348,10.7,osrm
1629,5757,3.8,osrm
1629,8381,3.6,osrm
1629,16110,2.2,osrm
1629,16974,4.4,osrm
1629,17196,3.7,osrm
1629,18109,2.6,osrm
1629,24977,3.4,osrm
1629,44851,5.0,osrm
1629,46454,4.8,osrm
1629,54348,5.9,osrm
5757,8381,2.9,osrm
5757,16110,1.9,osrm
5757,16974,2.2,osrm
5757,17196,5.0,osrm
5757,18109,4.5,osrm
5757,24977,7.1,osrm
5757,44851,6.9,osrm
5757,46454,4.1,osrm
5757,54348,8.7,osrm
8381,16110,3.4,osrm
8381,16974,3.1,osrm
8381,17196,7.1,osrm
8381,18109,3.4,osrm
8381,24977,6.5,osrm
8381,44851,8.4,osrm
8381,46454,3.0,osrm
8381,54348,7.6,osrm
8937,55752,7.8,osrm
16110,16974,2.9,osrm
16110,17196,5.0,osrm
16110,18109,4.7,osrm
16110,24977,6.3,osrm
16110,44851,6.3,osrm
16110,46454,5.4,osrm
16110,54348,8.9,osrm
16974,17196,6.9,osrm
16974,18109,4.7,osrm
16974,24977,7.7,osrm
16974,44851,8.1,osrm
16974,46454,4.3,osrm
16974,54348,8.9,osrm
17196,18109,6.6,osrm
17196,24977,7.4,osrm
17196,44851,4.2,osrm
17196,46454,8.8,osrm
17196,54348,9.9,osrm
18109,24977,4.5,osrm
18109,44851,5.0,osrm
18109,46454,5.6,osrm
18109,54348,4.2,osrm
24977,44851,6.2,osrm
24977,46454,4.5,osrm
24977,54348,6.5,osrm
44851,46454,7.2,osrm
44851,54348,8.2,osrm
46454,54348,5.9,osrm
5354,8318,6.8,osrm
5354,15684,8.1,osrm
5354,28270,7.0,osrm
8318,15684,3.8,osrm
8318,28270,6.8,osrm
15684,28270,8.2,osrm
2088,google_00132,2.7,osrm
6140,google_00132,3.9,osrm
6627,google_00132,4.9,osrm
7222,google_00132,1.7,osrm
13788,google_00132,8.1,osrm
google_00089,google_00095,13.7,osrm
google_00130,google_00133,8.0,osrm
457,708,13.6,osrm
457,829,14.8,osrm
457,833,14.7,osrm
457,1005,10.8,osrm
457,8564,10.0,osrm
457,12802,16.5,osrm
457,27507,14.7,osrm
457,31626,14.7,osrm
457,62694,13.9,osrm
457,72954,13.5,osrm
457,google_00000,4.0,osrm
458,708,8.7,osrm
458,829,9.9,osrm
458,833,9.8,osrm
458,1005,5.9,osrm
458,8564,5.1,osrm
458,12802,12.2,osrm
458,27507,9.8,osrm
458,31626,9.8,osrm
458,62694,9.0,osrm
458,72954,8.6,osrm
458,google_00000,4.8,osrm
708,783,10.0,osrm
708,3415,4.7,osrm
708,7178,10.0,osrm
708,12260,8.6,osrm
708,13290,10.7,osrm
708,20637,8.5,osrm
708,21620,7.3,osrm
708,21938,5.8,osrm
708,26183,9.0,osrm
708,30750,7.6,osrm
708,48485,6.5,osrm
708,61170,8.6,osrm
708,google_00000,9.9,osrm
783,829,14.5,osrm
783,833,14.5,osrm
783,1005,11.0,osrm
783,8564,10.2,osrm
783,12802,16.9,osrm
783,27507,14.4,osrm
783,31626,14.4,osrm
783,62694,13.6,osrm
783,72954,13.2,osrm
783,google_00000,7.3,osrm
829,3415,6.0,osrm
829,7178,9.5,osrm
829,12260,8.1,osrm
829,13290,10.1,osrm
829,20637,8.0,osrm
829,21620,6.8,osrm
829,21938,5.3,osrm
829,26183,8.4,osrm
829,30750,7.1,osrm
829,48485,6.0,osrm
829,61170,8.1,osrm
829,google_00000,9.4,osrm
833,3415,6.5,osrm
833,7178,9.9,osrm
833,12260,8.5,osrm
833,13290,10.6,osrm
833,20637,8.4,osrm
833,21620,7.2,osrm
833,21938,5.7,osrm
833,26183,8.9,osrm
833,30750,7.5,osrm
833,48485,6.4,osrm
833,61170,8.5,osrm
833,google_00000,9.8,osrm
1005,3415,2.2,osrm
1005,7178,7.9,osrm
1005,12260,6.5,osrm
1005,13290,8.4,osrm
1005,20637,6.4,osrm
1005,21620,5.1,osrm
1005,21938,6.2,osrm
1005,26183,6.7,osrm
1005,30750,5.4,osrm
1005,48485,4.4,osrm
1005,61170,6.5,osrm
1005,google_00000,7.7,osrm
