venue_id_a,venue_id_b,distance_km,duration_minutes,time_source
6,27507,5.56,11.1,osrm_bike
6,458,7.01,14.0,osrm_bike
6,13521,9.83,19.7,osrm_bike
6,457,7.78,15.6,osrm_bike
6,8318,8.06,16.1,osrm_bike
6,328,1.21,2.4,osrm_bike
6,1629,1.77,3.5,osrm_bike
6,708,5.54,11.1,osrm_bike
6,337,3.64,7.3,osrm_bike
6,6034,6.91,13.8,osrm_bike
6,6627,7.83,15.7,osrm_bike
6,2088,7.53,15.1,osrm_bike
6,43780,7.0,14.0,osrm_bike
6,783,8.15,16.3,osrm_bike
6,20637,7.52,15.0,osrm_bike
6,1017,3.54,7.1,osrm_bike
6,26183,7.83,15.7,osrm_bike
6,833,5.54,11.1,osrm_bike
6,6140,8.01,16.0,osrm_bike
6,829,6.07,12.1,osrm_bike
6,832,1.22,2.4,osrm_bike
6,21938,4.2,8.4,osrm_bike
6,11945,10.36,20.7,osrm_bike
6,3415,7.21,14.4,osrm_bike
6,12867,7.27,14.5,osrm_bike
6,7178,8.61,17.2,osrm_bike
6,1005,6.84,13.7,osrm_bike
6,12802,3.51,7.0,osrm_bike
6,576,2.62,5.2,osrm_bike
6,17394,8.94,17.9,osrm_bike
6,17196,1.94,3.9,osrm_bike
6,12260,7.69,15.4,osrm_bike
6,13655,13.33,26.7,osrm_bike
6,26083,10.52,21.0,osrm_bike
6,24977,2.38,4.8,osrm_bike
6,5757,3.77,7.5,osrm_bike
6,18109,3.32,6.6,osrm_bike
6,26748,11.4,22.8,osrm_bike
6,67516,9.66,19.3,osrm_bike
6,48485,7.61,15.2,osrm_bike
6,15684,8.66,17.3,osrm_bike
6,8937,6.28,12.6,osrm_bike
6,30750,8.23,16.5,osrm_bike
6,15178,10.65,21.3,osrm_bike
6,7222,8.65,17.3,osrm_bike
6,6970,20.92,41.8,osrm_bike
6,16110,3.09,6.2,osrm_bike
6,5354,5.41,10.8,osrm_bike
6,8564,6.78,13.6,osrm_bike
6,8381,4.85,9.7,osrm_bike
6,28270,4.36,8.7,osrm_bike
6,75864,8.68,17.4,osrm_bike
6,31626,4.8,9.6,osrm_bike
6,21620,8.1,16.2,osrm_bike
6,62694,4.34,8.7,osrm_bike
6,13788,6.32,12.6,osrm_bike
6,16974,4.42,8.8,osrm_bike
6,44851,1.64,3.3,osrm_bike
6,14389,13.27,26.5,osrm_bike
6,13290,7.43,14.9,osrm_bike
6,46880,4.26,8.5,osrm_bike
6,46454,4.89,9.8,osrm_bike
6,54348,3.23,6.5,osrm_bike
6,61170,7.68,15.4,osrm_bike
6,55752,8.39,16.8,osrm_bike
6,72954,4.17,8.3,osrm_bike
6,73162,13.21,26.4,osrm_bike
6,google_00000,7.38,14.8,osrm_bike
6,google_00001,16.09,32.2,osrm_bike
6,google_00007,13.62,27.2,osrm_bike
6,google_00020,19.49,39.0,osrm_bike
6,google_00025,21.69,43.4,osrm_bike
6,google_00030,5.56,11.1,osrm_bike
6,google_00031,4.7,9.4,osrm_bike
6,google_00032,5.35,10.7,osrm_bike
6,google_00034,6.14,12.3,osrm_bike
6,google_00036,7.56,15.1,osrm_bike
6,google_00037,6.64,13.3,osrm_bike
6,google_00038,1.11,2.2,osrm_bike
